question,ground_truth,redis_key,source,corpus_chunk_index,hybrid_rrf_hit@10,hybrid_rrf_gold_rank_in_topk,hybrid_rrf_retrieved_redis_keys,dense_top10_redis_keys,bm25_top10_redis_keys
心脏病患者服用华法林时为什么不能突然增加绿叶蔬菜的摄入？,因为绿叶蔬菜会影响华法林等抗凝血药物的效果，可能引发心脏病或中风，因此患者在服药期间应保持饮食稳定，避免突然增加绿叶蔬菜的食用。,qwen3:1291,北美省钱快报Dealmoon,1291,1,1,qwen3:1291|qwen3:1290|qwen3:2371|qwen3:1792|qwen3:2191|qwen3:2376|qwen3:1669|qwen3:2380|qwen3:1283|qwen3:2383,qwen3:1291|qwen3:1792|qwen3:2191|qwen3:1290|qwen3:1669|qwen3:1283|qwen3:1818|qwen3:2404|qwen3:1758|qwen3:2371,qwen3:1290|qwen3:1291|qwen3:2371|qwen3:2376|qwen3:2380|qwen3:2383|qwen3:309|qwen3:867|qwen3:1684|qwen3:1506
ACEI类药物作为高血压一线治疗药有哪些作用特点？,ACEI类药物禁忌症相对少，起效慢但作用持久；低钠饮食或合用利尿剂可增强降压效果；能减少交感神经活性、改善胰岛素抵抗，并对靶器官具有保护作用。,qwen3:1856,开心药狮,1856,1,1,qwen3:1856|qwen3:363|qwen3:1634|qwen3:1633|qwen3:3149|qwen3:844|qwen3:2736|qwen3:2309|qwen3:303|qwen3:520,qwen3:1856|qwen3:1634|qwen3:3149|qwen3:2736|qwen3:303|qwen3:363|qwen3:1633|qwen3:2735|qwen3:1365|qwen3:712,qwen3:1856|qwen3:363|qwen3:844|qwen3:2309|qwen3:520|qwen3:2731|qwen3:1633|qwen3:481|qwen3:1634|qwen3:2095
在前瞻性临床药物相互作用研究中，如何选择研究人群和确定样本量？,如果健康受试者的研究结果可外推至患者人群，则DDI临床研究应尽可能在健康成人中进行；某些情况下（如出于安全性或药效动力学研究目的）也可在患者中进行。样本量应能准确评价药物相互作用的程度和变异，并考虑受试者的个体内变异（平行设计时还需考虑个体间变异）。,qwen3:137,GMP办公室,137,1,2,qwen3:3096|qwen3:137|qwen3:979|qwen3:929|qwen3:2960|qwen3:930|qwen3:3103|qwen3:3102|qwen3:2959|qwen3:936,qwen3:3096|qwen3:979|qwen3:137|qwen3:2960|qwen3:3103|qwen3:2959|qwen3:929|qwen3:1167|qwen3:3095|qwen3:136,qwen3:137|qwen3:3096|qwen3:979|qwen3:930|qwen3:3102|qwen3:936|qwen3:318|qwen3:1544|qwen3:481|qwen3:929
链霉素和泮库溴铵合用会产生什么不良反应？,链霉素与泮库溴铵等神经肌肉阻滞剂合用，可加重神经肌肉阻滞作用，导致肌肉软弱、呼吸抑制或呼吸麻痹（呼吸暂停）。,qwen3:267,e诊所,267,1,9,qwen3:1327|qwen3:118|qwen3:2783|qwen3:1419|qwen3:1336|qwen3:2803|qwen3:2979|qwen3:2950|qwen3:267|qwen3:1466,qwen3:267|qwen3:1327|qwen3:2783|qwen3:1336|qwen3:1466|qwen3:2979|qwen3:118|qwen3:1419|qwen3:2803|qwen3:2950,qwen3:118|qwen3:1419|qwen3:2803|qwen3:1327|qwen3:2187|qwen3:2783|qwen3:1336|qwen3:2979|qwen3:2950|qwen3:1411
阿格列汀为什么适合需要联合用药的患者？,阿格列汀具有高选择性地抑制DPP-4酶活性，对DPP-8/9酶影响很小，因此靶外结合相关的不良反应风险更低，且药物相互作用风险低，适合需联合用药的患者。,qwen3:498,中国医学论坛报今日内分泌,498,1,4,qwen3:448|qwen3:440|qwen3:447|qwen3:498|qwen3:517|qwen3:451|qwen3:547|qwen3:441|qwen3:482|qwen3:519,qwen3:498|qwen3:517|qwen3:440|qwen3:451|qwen3:448|qwen3:482|qwen3:533|qwen3:480|qwen3:465|qwen3:447,qwen3:448|qwen3:447|qwen3:440|qwen3:547|qwen3:441|qwen3:519|qwen3:548|qwen3:497|qwen3:516|qwen3:531
CYP2C9快代谢基因型的癫痫患者在合用氟康唑时为什么容易出现苯妥英钠中毒？,因为CYP2C9快代谢基因型患者需使用较大剂量苯妥英钠（如0.7g/d），而氟康唑是CYP2C9抑制剂，会抑制苯妥英钠代谢，导致其血药浓度显著升高（如达138–240μmol/L，远超参考范围36.5–72.9μmol/L），从而引发中毒症状。,qwen3:2342,神经病学俱乐部,2342,1,1,qwen3:2342|qwen3:2341|qwen3:2281|qwen3:2343|qwen3:1682|qwen3:2282|qwen3:2344|qwen3:1547|qwen3:2347|qwen3:1681,qwen3:2342|qwen3:2341|qwen3:2343|qwen3:2281|qwen3:2344|qwen3:2347|qwen3:1681|qwen3:1682|qwen3:2283|qwen3:2340,qwen3:2342|qwen3:2341|qwen3:2282|qwen3:2281|qwen3:1547|qwen3:1682|qwen3:2343|qwen3:1680|qwen3:1150|qwen3:2345
丙型肝炎直接抗病毒药治疗多久能在血液中检测不到HCV RNA？,丙型肝炎直接抗病毒药在一般情况下治疗3~4周即可达到在血液中检测不到HCV RNA的疗效。,qwen3:1598,医脉通肝脏科,1598,1,1,qwen3:1598|qwen3:1599|qwen3:1600|qwen3:756|qwen3:761|qwen3:1601|qwen3:1602|qwen3:1693|qwen3:1690|qwen3:1697,qwen3:1598|qwen3:1599|qwen3:1602|qwen3:1600|qwen3:1693|qwen3:761|qwen3:756|qwen3:1697|qwen3:1601|qwen3:436,qwen3:1598|qwen3:1599|qwen3:1600|qwen3:756|qwen3:761|qwen3:1601|qwen3:1690|qwen3:1699|qwen3:2766|qwen3:2317
FDA在2023年12月的网络研讨会中介绍了哪些关于药物相互作用的内容？,FDA在2023年12月12日-13日的网络研讨会中讨论了评估药物相互作用的重要性，包括研究药物对口服避孕药的影响、抑酸药升高胃pH对研究药物的影响、治疗性蛋白生物制剂的药物相互作用，以及如何进行体外和临床试验设计；还介绍了FDA药物相互作用网站上提供的代谢酶和转运体相关药物列表，用于评估药物相互作用风险。,qwen3:2362,科志康,2362,1,1,qwen3:2362|qwen3:2363|qwen3:1015|qwen3:2364|qwen3:1163|qwen3:2919|qwen3:1010|qwen3:2927|qwen3:1012|qwen3:119,qwen3:2362|qwen3:2363|qwen3:1015|qwen3:2364|qwen3:2919|qwen3:2927|qwen3:119|qwen3:961|qwen3:1167|qwen3:949,qwen3:2362|qwen3:2363|qwen3:1015|qwen3:1163|qwen3:1010|qwen3:1012|qwen3:2278|qwen3:2931|qwen3:1256|qwen3:2066
复方甘草酸苷与阿奇霉素合用可能带来什么风险？,复方甘草酸苷可引起低钾，从而增加阿奇霉素等大环内酯类抗生素的致心律失常风险。,qwen3:2307,皮肤科杨希川教授,2307,0,0,qwen3:2678|qwen3:2677|qwen3:2212|qwen3:2679|qwen3:642|qwen3:2520|qwen3:2116|qwen3:1976|qwen3:2136|qwen3:498,qwen3:2678|qwen3:2679|qwen3:2520|qwen3:1976|qwen3:498|qwen3:2519|qwen3:2735|qwen3:1356|qwen3:440|qwen3:2677,qwen3:2212|qwen3:642|qwen3:2116|qwen3:2136|qwen3:819|qwen3:2678|qwen3:2307|qwen3:1319|qwen3:2677|qwen3:1527
磺达肝癸钠的使用有哪些禁忌症和注意事项？,磺达肝癸钠禁用于对药物或其赋形剂过敏者、有临床意义的活动性出血、急性细菌性心内膜炎及肌酐清除率<20mL/min的严重肾损害患者。该药仅可皮下注射，不可肌注，且不应与增加出血风险的药物如纤溶药、肝素、类肝素或低分子肝素合用。出血风险高的患者应慎用。,qwen3:1770,好医术心学社,1770,1,6,qwen3:1778|qwen3:1775|qwen3:1777|qwen3:2865|qwen3:1774|qwen3:1770|qwen3:1772|qwen3:1776|qwen3:434|qwen3:1769,qwen3:1770|qwen3:1778|qwen3:1777|qwen3:1775|qwen3:1776|qwen3:434|qwen3:1774|qwen3:1763|qwen3:2865|qwen3:1312,qwen3:1775|qwen3:1778|qwen3:1777|qwen3:1772|qwen3:2865|qwen3:1769|qwen3:1774|qwen3:2864|qwen3:1867|qwen3:562
附子中的哪些成分既是有效成分又是毒性成分？,乌头碱、中乌头碱和次乌头碱是附子的主要有效成分，也是其毒性成分。,qwen3:625,中草药杂志社,625,1,6,qwen3:626|qwen3:685|qwen3:683|qwen3:1274|qwen3:2493|qwen3:625|qwen3:1939|qwen3:687|qwen3:688|qwen3:1272,qwen3:626|qwen3:685|qwen3:2493|qwen3:683|qwen3:1939|qwen3:688|qwen3:682|qwen3:348|qwen3:643|qwen3:568,qwen3:626|qwen3:1274|qwen3:625|qwen3:685|qwen3:687|qwen3:1272|qwen3:501|qwen3:2066|qwen3:683|qwen3:1275
临床药师在中西药联合使用安全管理中应发挥哪些核心作用？,临床药师应深度参与处方审核与干预，提供用药教育，作为多学科诊疗团队成员提供专业药学意见，并主动监测和上报中西药联用引起的不良反应。,qwen3:1982,易药明析,1982,1,1,qwen3:1982|qwen3:1981|qwen3:1983|qwen3:1980|qwen3:694|qwen3:153|qwen3:1756|qwen3:3112|qwen3:1288|qwen3:995,qwen3:1982|qwen3:1981|qwen3:1983|qwen3:1980|qwen3:694|qwen3:153|qwen3:3112|qwen3:995|qwen3:339|qwen3:1579,qwen3:1982|qwen3:1981|qwen3:1983|qwen3:1980|qwen3:694|qwen3:1756|qwen3:1288|qwen3:2095|qwen3:1974|qwen3:842
奥希替尼与伊曲康唑合用时需要注意什么？,奥希替尼与伊曲康唑合用可能增加奥希替尼的血药浓度，导致不良反应；建议初始使用半剂量奥希替尼（如40 mg/48 h），并密切监测血浆药物浓度，若耐受良好可增至80 mg/d。,qwen3:741,临床用药评价,741,1,1,qwen3:741|qwen3:742|qwen3:1613|qwen3:837|qwen3:1614|qwen3:1099|qwen3:1527|qwen3:1955|qwen3:836|qwen3:1029,qwen3:741|qwen3:742|qwen3:1613|qwen3:1099|qwen3:1614|qwen3:836|qwen3:1029|qwen3:837|qwen3:747|qwen3:2795,qwen3:741|qwen3:742|qwen3:837|qwen3:1527|qwen3:1955|qwen3:1614|qwen3:294|qwen3:1613|qwen3:602|qwen3:268
CF（1）、CF（6）对哪些升高的血液指标有明显降低作用？,CF（1）和CF（6）对升高的WBV（200 s⁻¹、30 s⁻¹、5 s⁻¹、1 s⁻¹）、PV和HCT有明显降低作用，但对ESR和WBRV无明显作用。,qwen3:674,中草药杂志社,674,1,1,qwen3:674|qwen3:675|qwen3:673|qwen3:1922|qwen3:2906|qwen3:671|qwen3:2430|qwen3:676|qwen3:322|qwen3:2759,qwen3:674|qwen3:675|qwen3:1922|qwen3:2906|qwen3:2430|qwen3:322|qwen3:2341|qwen3:1923|qwen3:1562|qwen3:1495,qwen3:674|qwen3:673|qwen3:675|qwen3:671|qwen3:676|qwen3:2759|qwen3:672|qwen3:33|qwen3:668|qwen3:2519
老年糖尿病患者联合用药时为何容易发生药物相互作用？,老年糖尿病患者常合并多种疾病，需同时使用多种药物，而药物在体内的代谢过程主要依赖CYP450酶系统，其中90%的药物代谢需CYP450参与。当联用经相同代谢酶途径的药物时，如克拉霉素（CYP3A4强抑制剂）与瑞格列奈（经CYP3A4代谢），可导致后者血药浓度升高，引发严重低血糖等不良反应。,qwen3:543,中国医学论坛报今日循环,543,1,9,qwen3:493|qwen3:518|qwen3:528|qwen3:507|qwen3:447|qwen3:539|qwen3:536|qwen3:473|qwen3:543|qwen3:541,qwen3:539|qwen3:493|qwen3:507|qwen3:528|qwen3:518|qwen3:543|qwen3:476|qwen3:447|qwen3:440|qwen3:467,qwen3:493|qwen3:518|qwen3:536|qwen3:473|qwen3:447|qwen3:541|qwen3:528|qwen3:525|qwen3:507|qwen3:465
地高辛和奎尼丁合用时需要注意什么？,地高辛与奎尼丁合用可使地高辛血药浓度提高约一倍，甚至达到中毒浓度，即使停用地高辛，其血药浓度仍可能继续上升。两药合用时应酌减地高辛用量1/2～1/3。,qwen3:1260,凯德传媒肾脏时讯,1260,0,0,qwen3:115|qwen3:1463|qwen3:2947|qwen3:2800|qwen3:2939|qwen3:381|qwen3:1324|qwen3:373|qwen3:1333|qwen3:1302,qwen3:2939|qwen3:381|qwen3:373|qwen3:1302|qwen3:1260|qwen3:115|qwen3:2976|qwen3:1463|qwen3:2947|qwen3:2800,qwen3:115|qwen3:1324|qwen3:1333|qwen3:1416|qwen3:1463|qwen3:2184|qwen3:264|qwen3:2780|qwen3:2800|qwen3:2947
该课题组目前的主要研究方向有哪些？,该课题组目前主要研究方向包括针对高通量生物数据进行数据挖掘和数学建模，以数据为导向研究生物学作用机理；具体涉及大分子结构的计算建模及其结构与功能关系、基于网络的系统生物学研究、药物－靶标相互作用预测以及药物重新定位等。,qwen3:40,BioArt,40,1,1,qwen3:40|qwen3:39|qwen3:598|qwen3:37|qwen3:2039|qwen3:2066|qwen3:2871|qwen3:2188|qwen3:58|qwen3:834,qwen3:40|qwen3:598|qwen3:2039|qwen3:39|qwen3:2871|qwen3:58|qwen3:1861|qwen3:1159|qwen3:29|qwen3:1670,qwen3:40|qwen3:37|qwen3:39|qwen3:2066|qwen3:2188|qwen3:834|qwen3:318|qwen3:2764|qwen3:33|qwen3:2067
为什么阿格列汀在与其他药物联合使用时安全性更高？,因为阿格列汀不通过细胞色素p450酶代谢，也不是P糖蛋白的底物，因此在与降压药、降脂药、抗心律失常药和抗凝药等联合使用时，药物间相互作用的风险更低，安全性更高。,qwen3:495,中国医学论坛报今日内分泌,495,0,0,qwen3:440|qwen3:480|qwen3:470|qwen3:498|qwen3:479|qwen3:517|qwen3:441|qwen3:496|qwen3:446|qwen3:548,qwen3:498|qwen3:517|qwen3:440|qwen3:480|qwen3:548|qwen3:537|qwen3:522|qwen3:533|qwen3:455|qwen3:470,qwen3:479|qwen3:441|qwen3:496|qwen3:446|qwen3:440|qwen3:480|qwen3:495|qwen3:470|qwen3:497|qwen3:484
ASCVD患者降胆固醇药物治疗管理的主要流程包括哪些环节？,ASCVD患者降胆固醇药物治疗管理的主要流程包括信息收集、分析评估、计划实施及跟踪随访。,qwen3:1628,华医网,1628,1,1,qwen3:1628|qwen3:1629|qwen3:1631|qwen3:1630|qwen3:1632|qwen3:1599|qwen3:2382|qwen3:1022|qwen3:1983|qwen3:759,qwen3:1628|qwen3:1629|qwen3:1630|qwen3:1631|qwen3:1632|qwen3:1599|qwen3:1022|qwen3:759|qwen3:1562|qwen3:1495,qwen3:1628|qwen3:1631|qwen3:1629|qwen3:1630|qwen3:1632|qwen3:2382|qwen3:1983|qwen3:328|qwen3:588|qwen3:326
使用培美曲塞期间如何正确补充叶酸？,在第一次培美曲塞给药前7天中，至少有5天每日必须口服一次0.4mg叶酸片，并在整个治疗过程中以及末次给药后21天继续口服叶酸，以减轻骨髓抑制等毒性。,qwen3:2967,赣州市肿瘤医院药剂科,2967,1,1,qwen3:2967|qwen3:2966|qwen3:2965|qwen3:2968|qwen3:2969|qwen3:316|qwen3:2547|qwen3:317|qwen3:867|qwen3:838,qwen3:2967|qwen3:2969|qwen3:2966|qwen3:2968|qwen3:2965|qwen3:2547|qwen3:867|qwen3:2546|qwen3:3044|qwen3:388,qwen3:2967|qwen3:2966|qwen3:2965|qwen3:2968|qwen3:316|qwen3:317|qwen3:838|qwen3:834|qwen3:786|qwen3:1686
什么是广义的药物相互作用？,广义的药物相互作用是指能使药物发生药动学或药效学改变的所有因素，包括药物与食物、西药与中药、药物与疾病、药物与基因及药物与检验值的相互作用等。,qwen3:842,健康报,842,1,2,qwen3:1756|qwen3:842|qwen3:2956|qwen3:2720|qwen3:2425|qwen3:795|qwen3:33|qwen3:1689|qwen3:2908|qwen3:2755,qwen3:2720|qwen3:2425|qwen3:795|qwen3:1756|qwen3:2956|qwen3:2755|qwen3:1911|qwen3:1722|qwen3:348|qwen3:842,qwen3:1756|qwen3:842|qwen3:33|qwen3:1689|qwen3:2908|qwen3:1582|qwen3:1680|qwen3:2395|qwen3:2956|qwen3:2095
氟康唑和咪康唑之间预测的药物相互作用是如何通过注意力机制解释的？,模型对长度为1、2和3的元路径导出的注意力分数分别约为0.45、0.45和0.1；手动检查发现两种药物之间没有长度为1的元路径。,qwen3:190,GoDesign,190,1,1,qwen3:190|qwen3:191|qwen3:2554|qwen3:2342|qwen3:186|qwen3:1571|qwen3:33|qwen3:1595|qwen3:73|qwen3:1032,qwen3:190|qwen3:191|qwen3:2342|qwen3:1571|qwen3:1595|qwen3:2554|qwen3:1032|qwen3:81|qwen3:2759|qwen3:80,qwen3:190|qwen3:191|qwen3:186|qwen3:33|qwen3:2554|qwen3:73|qwen3:2099|qwen3:600|qwen3:2098|qwen3:1502
在评估在研药物是否为代谢酶抑制剂时，应如何选择指针底物？,指针底物应具有选择性（如主要通过混合的人肝微粒体或单一的重组CYP酶代谢），并具有简单的代谢途径，理想情况下药物不连续代谢。,qwen3:160,GMP办公室,160,0,0,qwen3:916|qwen3:3082|qwen3:966|qwen3:935|qwen3:124|qwen3:123|qwen3:985|qwen3:143|qwen3:142|qwen3:3102,qwen3:3082|qwen3:916|qwen3:966|qwen3:123|qwen3:985|qwen3:143|qwen3:3102|qwen3:124|qwen3:954|qwen3:935,qwen3:916|qwen3:935|qwen3:3082|qwen3:966|qwen3:124|qwen3:142|qwen3:3101|qwen3:984|qwen3:1004|qwen3:162
保泰松为何会增强华法林的抗凝作用导致出血？,保泰松不仅将华法林从血浆蛋白结合部位置换出来，增加游离型华法林浓度，还可抑制活性更强的S-华法林异构体的代谢（由CYP2C9/18催化），同时促进R-华法林代谢，使血浆中高活性S-华法林比例增大，从而增强抗凝作用。,qwen3:2701,药物与用药安全,2701,1,8,qwen3:1934|qwen3:1867|qwen3:562|qwen3:1811|qwen3:515|qwen3:1684|qwen3:1935|qwen3:2701|qwen3:1868|qwen3:1917,qwen3:1811|qwen3:1684|qwen3:1935|qwen3:1868|qwen3:563|qwen3:1934|qwen3:1867|qwen3:562|qwen3:1506|qwen3:2910,qwen3:515|qwen3:1934|qwen3:2701|qwen3:1917|qwen3:1867|qwen3:562|qwen3:1680|qwen3:1761|qwen3:2118|qwen3:2138
默克公司的新冠药物‘雷神锤子’对已接种疫苗的人有效吗？,根据英国临床试验结果，默克公司的新冠药物‘雷神锤子’（Molnupiravir）对接种过疫苗的人无效，不能降低轻症转重症的风险。对照组和用药组的重症率均为1%。,qwen3:2397,童爸育儿,2397,1,1,qwen3:2397|qwen3:338|qwen3:2765|qwen3:2980|qwen3:2395|qwen3:2393|qwen3:168|qwen3:3148|qwen3:3127|qwen3:2921,qwen3:2397|qwen3:338|qwen3:2980|qwen3:2393|qwen3:3148|qwen3:2921|qwen3:2922|qwen3:1337|qwen3:252|qwen3:867,qwen3:2397|qwen3:2765|qwen3:2395|qwen3:168|qwen3:3127|qwen3:246|qwen3:240|qwen3:2764|qwen3:241|qwen3:2526
为什么在药物开发早期进行ADME/PK研究很重要？,在药物开发早期进行ADME/PK研究可以更有效地筛选候选药物，避免因药代动力学问题在后期失败而付出高昂成本。自1991年以来，这一策略已将因药代动力学曲线不佳导致的候选药物失败率从40%以上降至2008年前的低于1%。,qwen3:1993,易赛咨询,1993,1,1,qwen3:1993|qwen3:1992|qwen3:1083|qwen3:1094|qwen3:2366|qwen3:3096|qwen3:1239|qwen3:979|qwen3:137|qwen3:834,qwen3:1993|qwen3:1992|qwen3:1083|qwen3:3096|qwen3:979|qwen3:137|qwen3:1793|qwen3:1090|qwen3:1085|qwen3:1094,qwen3:1992|qwen3:1993|qwen3:2366|qwen3:1239|qwen3:1083|qwen3:834|qwen3:393|qwen3:2367|qwen3:1094|qwen3:1347
房颤患者选择抗凝药物时需要考虑哪些因素？,房颤患者选择抗凝药物时需评估卒中风险和出血风险，并根据患者的具体情况和风险因素进行个体化决策。,qwen3:513,中国医学论坛报今日循环,513,1,1,qwen3:513|qwen3:514|qwen3:1773|qwen3:515|qwen3:1759|qwen3:1286|qwen3:2868|qwen3:1772|qwen3:1775|qwen3:1758,qwen3:513|qwen3:514|qwen3:1759|qwen3:2868|qwen3:1773|qwen3:515|qwen3:1775|qwen3:1109|qwen3:1771|qwen3:1108,qwen3:514|qwen3:513|qwen3:1286|qwen3:1772|qwen3:515|qwen3:1773|qwen3:1758|qwen3:2403|qwen3:2408|qwen3:848
灵芝和三七配伍为什么能协同调脂？,灵芝三萜可激动PPARα起调脂作用并促进PEPT1表达，而三七环肽主要经PEPT1转运吸收入血，因此两者配伍可协同调脂。,qwen3:691,中草药杂志社,691,1,1,qwen3:691|qwen3:684|qwen3:392|qwen3:683|qwen3:2011|qwen3:504|qwen3:458|qwen3:2273|qwen3:2380|qwen3:1475,qwen3:691|qwen3:684|qwen3:683|qwen3:504|qwen3:2273|qwen3:1475|qwen3:682|qwen3:2990|qwen3:1551|qwen3:1484,qwen3:691|qwen3:392|qwen3:2011|qwen3:458|qwen3:2380|qwen3:462|qwen3:2764|qwen3:2527|qwen3:834|qwen3:2908
CADD和AIDD在药物设计中的主要区别是什么？,CADD基于计算机模拟和计算，依据生命科学研究成果设计药物分子，强调结构与性质互补；而AIDD利用机器学习和深度学习对数据库进行自我学习，可避免试错并生成全新结构，广泛应用于靶点预测、高通量筛选及ADMET性质预测等环节。,qwen3:3050,食品放大镜,3050,1,1,qwen3:3050|qwen3:3052|qwen3:1267|qwen3:3053|qwen3:192|qwen3:2724|qwen3:1725|qwen3:2764|qwen3:84|qwen3:2908,qwen3:3050|qwen3:3052|qwen3:3053|qwen3:192|qwen3:1725|qwen3:84|qwen3:1993|qwen3:1687|qwen3:1688|qwen3:45,qwen3:3050|qwen3:1267|qwen3:3052|qwen3:2724|qwen3:2764|qwen3:2908|qwen3:308|qwen3:2153|qwen3:1367|qwen3:1772
喹诺酮类抗菌药物与苯妥英钠合用会产生什么相互作用？,喹诺酮类药物通过抑制肝药酶，使苯妥英钠血药浓度升高，毒性增加。,qwen3:1807,宠医客,1807,0,0,qwen3:1457|qwen3:1405|qwen3:1345|qwen3:1448|qwen3:1680|qwen3:1893|qwen3:886|qwen3:2113|qwen3:1286|qwen3:2661,qwen3:1457|qwen3:1893|qwen3:2113|qwen3:2661|qwen3:1405|qwen3:1854|qwen3:1345|qwen3:2451|qwen3:1448|qwen3:281,qwen3:1680|qwen3:886|qwen3:1286|qwen3:1345|qwen3:1405|qwen3:1427|qwen3:1437|qwen3:1448|qwen3:1457|qwen3:1720
中药配伍的根本目的是什么？,中药配伍的根本目的是增效减毒。,qwen3:679,中草药杂志社,679,1,1,qwen3:679|qwen3:683|qwen3:681|qwen3:2407|qwen3:692|qwen3:859|qwen3:695|qwen3:2395|qwen3:680|qwen3:2153,qwen3:679|qwen3:681|qwen3:692|qwen3:695|qwen3:680|qwen3:693|qwen3:682|qwen3:694|qwen3:683|qwen3:677,qwen3:679|qwen3:2407|qwen3:859|qwen3:2395|qwen3:2153|qwen3:683|qwen3:2908|qwen3:2172|qwen3:395|qwen3:833
阿莫西林和恩诺沙星可以一起使用吗？,阿莫西林与恩诺沙星可以一起使用，但要分开给药，不可置于同一容器中，因为阿莫西林与氨基糖苷类会发生混浊，而恩诺沙星属于喹诺酮类抗菌药物。,qwen3:2193,猪业视角,2193,1,4,qwen3:1909|qwen3:3145|qwen3:889|qwen3:2193|qwen3:2521|qwen3:1271|qwen3:2545|qwen3:766|qwen3:1512|qwen3:774,qwen3:1909|qwen3:889|qwen3:3145|qwen3:2193|qwen3:2521|qwen3:2545|qwen3:1512|qwen3:2270|qwen3:434|qwen3:2734,qwen3:3145|qwen3:889|qwen3:1909|qwen3:2193|qwen3:1271|qwen3:766|qwen3:774|qwen3:2153|qwen3:2157|qwen3:2284
如果在研药物是CYP1A2的底物，是否需要开展吸烟者研究？,如果在研药物属于CYP1A2的底物，申请人应在预期患者人群、CYP1A2诱导对于药物暴露量影响的基础上决定是否进行一项吸烟者研究。,qwen3:988,凡默谷,988,1,5,qwen3:3105|qwen3:939|qwen3:146|qwen3:938|qwen3:988|qwen3:123|qwen3:916|qwen3:985|qwen3:917|qwen3:143,qwen3:939|qwen3:938|qwen3:3105|qwen3:146|qwen3:988|qwen3:123|qwen3:985|qwen3:143|qwen3:3102|qwen3:3082,qwen3:3105|qwen3:146|qwen3:988|qwen3:939|qwen3:938|qwen3:916|qwen3:917|qwen3:131|qwen3:923|qwen3:124
维拉帕米如何影响贝达喹啉（BDQ）的体内暴露和抗结核活性？,维拉帕米可抑制结核分枝杆菌外排泵对药物的转运，并抑制CYP3A4活性，联用时可增加BDQ的体内暴露并显著增强其抗结核活性。,qwen3:1203,凡默谷,1203,1,2,qwen3:1200|qwen3:1203|qwen3:1199|qwen3:1201|qwen3:2071|qwen3:1198|qwen3:2072|qwen3:1202|qwen3:1206|qwen3:2073,qwen3:1203|qwen3:1200|qwen3:1201|qwen3:1199|qwen3:1198|qwen3:1202|qwen3:1206|qwen3:2071|qwen3:2353|qwen3:1727,qwen3:1199|qwen3:1200|qwen3:2071|qwen3:1203|qwen3:2072|qwen3:1201|qwen3:1198|qwen3:2073|qwen3:2070|qwen3:2067
葡萄柚汁会影响哪些药物的药效？,葡萄柚汁可能与多种药物发生相互作用，影响药效，具体包括但不限于某些心血管药物等。相关研究和警示已在多篇文献及FDA公告中提及。,qwen3:1842,广州市第一人民医院,1842,1,6,qwen3:1936|qwen3:591|qwen3:1937|qwen3:1938|qwen3:317|qwen3:1842|qwen3:1689|qwen3:1879|qwen3:1680|qwen3:1940,qwen3:1938|qwen3:1936|qwen3:1842|qwen3:591|qwen3:1937|qwen3:1879|qwen3:1940|qwen3:222|qwen3:2429|qwen3:2584,qwen3:317|qwen3:1936|qwen3:1689|qwen3:591|qwen3:1937|qwen3:1680|qwen3:1756|qwen3:570|qwen3:1616|qwen3:781
环孢素与利伐沙班合用会带来什么风险？,环孢素是P-gp、BCRP和CYP3A的抑制剂，可使利伐沙班的AUC和Cmax分别提高47%和105%，其中Cmax增幅为目前已知最大，显著增加出血风险。当环孢素与氟康唑联用时，利伐沙班AUC进一步升高至86%，提示明显的药物相互作用风险。,qwen3:1115,凡默谷,1115,1,1,qwen3:1115|qwen3:1116|qwen3:1114|qwen3:2153|qwen3:3070|qwen3:1108|qwen3:2473|qwen3:1685|qwen3:1302|qwen3:2939,qwen3:1115|qwen3:1114|qwen3:1116|qwen3:3070|qwen3:2473|qwen3:1302|qwen3:2939|qwen3:2822|qwen3:2463|qwen3:887,qwen3:1115|qwen3:1116|qwen3:2153|qwen3:1108|qwen3:1685|qwen3:1114|qwen3:1107|qwen3:1113|qwen3:1286|qwen3:1502
氨基糖苷类抗菌药物与维生素C合用会产生什么影响？,维生素C会酸化尿液中的氨基糖苷类，导致其抗菌作用减弱。,qwen3:2160,消化界,2160,0,0,qwen3:2589|qwen3:1340|qwen3:698|qwen3:1400|qwen3:883|qwen3:1422|qwen3:1801|qwen3:1432|qwen3:2832|qwen3:1443,qwen3:2589|qwen3:698|qwen3:883|qwen3:1801|qwen3:2832|qwen3:2768|qwen3:2815|qwen3:2456|qwen3:2886|qwen3:2435,qwen3:1340|qwen3:1400|qwen3:1422|qwen3:1432|qwen3:1443|qwen3:1452|qwen3:1715|qwen3:1849|qwen3:1888|qwen3:2145
肥胖或病态肥胖的HIV患者在使用多替拉韦和利福平时有什么用药建议？,研究数据表明，肥胖和病态肥胖患者可以考虑采用每日两次联合服用多替拉韦和利福平的建议。,qwen3:2477,纸飞机说HIV,2477,1,2,qwen3:2476|qwen3:2477|qwen3:1967|qwen3:1729|qwen3:3047|qwen3:3048|qwen3:744|qwen3:2045|qwen3:612|qwen3:2055,qwen3:2476|qwen3:2477|qwen3:1729|qwen3:1967|qwen3:744|qwen3:2045|qwen3:2055|qwen3:2290|qwen3:2043|qwen3:504,qwen3:2476|qwen3:2477|qwen3:3047|qwen3:3048|qwen3:1967|qwen3:612|qwen3:2765|qwen3:829|qwen3:2021|qwen3:2030
